ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
ASUS Vivobook X1404VA-i512256 : i5-1334U | 12GB RAM | 256GB SSD | Intel UHD Graphics | 14 inch FHD | Finger | Windows 11,ASUS,N/A,12,256GB SSD,INTEL UHD GRAPHICS,11950000
HP 15-FC0086AU A6VV9PA : R5-7430U | 16GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6 FHD | Win 11 Home | Silver,HP,N/A,16,512GB SSD,AMD RADEON™ GRAPHICS,12000000
Dell Inspiron 3530 71053725 : i3-1305U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Intel UHD Graphics | Win 11 Home | Office Home 2024 | Black,DELL,INTEL CORE I3-1305U,8,512GB SSD,INTEL UHD GRAPHICS,12200000
Dell inspiron 3530 P16WD5: i3-1305U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD 120Hz | Windows 11 Home + Office 2021 | Silver,DELL,INTEL CORE I3-1305U,8,512GB SSD,INTEL UHD GRAPHICS,12300000
MSI Modern 14 F13MG-250VNCP : i5-1334U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Windows 11 | Black,MSI,N/A,8,512GB SSD,IRIS XE GRAPHICS,12300000
HP 15-FD0095WM : i5-1235U | 8GB RAM | 256GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Windows 11 | Silver,HP,N/A,8,256GB SSD,INTEL® IRIS® Xᶱ GRAPHICS,12400000
Dell Inspiron 3530 N3530 - N5I3005W1 : i3-1305U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD 120Hz | Windows 11 + Office | Black,DELL,N/A,8,512GB SSD,IRIS XE GRAPHICS,12400000
Dell Latitude 7430 : i7-1265U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Windows 11 | Black,DELL,N/A,16,512GB SSD,IRIS XE GRAPHICS,12400000
Dell 15 DC15255 : R7-7730U | RAM 16G | SSD 512G | AMD Radeon Graphics | 15.6 inch FHD | Touch  | Windows 11 | Carbon Black | OPEN BOX,DELL,N/A,N/A,SSD 512G,AMD RADEON GRAPHICS,12200000
LCD Dell G3223D : 31.5 inch QHD (2560 x 1440) | Fast IPS | 16 : 9 | 400 cd/m | 165 Hz | Black,DELL,N/A,N/A,N/A,N/A,12499000
MSI Modern 14 F13MG-027VN : i5-1335U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14.0 FHD | Windows 11 Home | Silver,MSI,INTEL CORE I5-1335U,16,512GB SSD,INTEL IRIS XE GRAPHICS,12500000
Lenovo V15 G4 IRU 83A100URVN : i5-13420H | 8GB RAM | 512GB SSD | 15.6 inch FHD | UHD Graphics | Windows 11 | Xám,LENOVO,N/A,8,512GB SSD,UHD GRAPHICS,12700000
Dell Latitude 7430 : i7-1265U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD Touch | Windows 11 | Black,DELL,N/A,16,512GB SSD,IRIS XE GRAPHICS,12950000
MSI Modern 14 F13MG 240VNCP : i5-1335U | 8GB RAM | 512GB SSD | Intel® Iris Xe Graphics | 14 inch FHD | RGB Keyboard | Windows 11 | Xám,MSI,N/A,8,512GB SSD,INTEL® IRIS XE GRAPHICS,13000000
Lenovo V14 G4 IRU 83A000BFVN : i5-13420H | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 Inch FHD | No OS | Grey,LENOVO,INTEL CORE I5 13420H,8,512GB SSD,INTEL UHD GRAPHICS,13000000
ASUS ExpertBook P1503CVA-i508-50W : i5-13420H | 8GB RAM | 512GB SSD | UHD Graphics | 15.6 inches FHD | Windows 11 | Xám,ASUS,N/A,8,512GB SSD,INTEL UHD GRAPHICS,13100000
ASUS ExpertBook B1-B1502CVA-NJ0175W : i5-1335U | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | Windows 11 | Black,ASUS,INTEL CORE I5-1335U,16,512GB SSD,INTEL UHD GRAPHICS,13200000
Lenovo V14 G4 IRU 83A000FPVN : i5-13420H | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | No OS | Grey,LENOVO,N/A,8,512GB SSD,INTEL® UHD GRAPHICS,13200000
ASUS ExpertBook P1403CVA-i508-50W :  i5-13420H | 8GB RAM | 512GB SSD | FingerPrint | 14 inch FHD | Windows 11 | Grey,ASUS,N/A,8,512GB SSD,INTEL UHD GRAPHICS,13200000
Dell inspiron 15 3520 - 25P2311 : i5-1235U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win 11 Home | Office Home and Student 2021 | Silver,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL IRIS XE GRAPHICS,13250000
Màn hình Dell UltraSharp U2720Q : 27 inch 4K (3840 x 2160) | IPS | 16:9 | 60Hz | 99% sRGB | Black,DELL,MÀN HÌNH DELL ULTRASHARP U2720Q : 27 INCH 4K (3840 X 2160),N/A,N/A,N/A,13299000
Dell Vostro 3430 71026453 : i3-1305U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Windows 11 + Office | Grey,DELL,N/A,8,512GB SSD,INTEL UHD GRAPHICS,13300000
LENOVO V14 G4 IRU 83A000BGVN : i5-13420H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | FreeDos | Grey,LENOVO,N/A,16,512GB SSD,INTEL UHD GRAPHICS,13300000
Dell Inspiron 3520 71053702 : i5-1235U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Intel UHD Graphics | Win 11 Home | Office Office Home 2024 | Black,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL UHD GRAPHICS,13400000
Dell Inspiron 15 3520 N5I5352W1 : I5-1235U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win 11 Home | Office 365 | Silver,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL IRIS XE GRAPHICS,13400000
HP 240 G9 AG2J6AT : i5-1235U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14.0 inch FHD | Win 11 Home | Silver,HP,INTEL CORE I5-1235U,8,512GB SSD,INTEL UHD GRAPHICS,13400000
ASUS Expertbook P1403CVA S60608 : i5-13420H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | No OS | Misty Grey,ASUS,N/A,16,512GB SSD,INTEL UHD GRAPHICS,13400000
ASUS ExpertBook P1503CVA-S70516 : i5-13420H | 16GB RAM | 512GB SSD | UHD Graphics | 15.6 inches FHD | Windows 11 | Xám,ASUS,N/A,16,512GB SSD,INTEL UHD GRAPHICS,13500000
Dell Inspiron 15 3520 71058652 : i5-1235U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Intel UHD Graphics | Windows 11 Home | Office Home 2024 | Black,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL UHD GRAPHICS,13500000
HP 240 G9 6L1Y2PA : i5-1235U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14.0 inch FHD | Windows 11 SL | Silver,HP,N/A,8,512GB SSD,INTEL IRIS XE GRAPHICS,13500000
Dell Inspiron 5440-5463BLK-PUS: i5-1334U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD+ | Windows 11 | Black,DELL,N/A,8,512GB SSD,INTEL IRIS XE GRAPHICS,13600000
Lenovo V15 G4 IRU 83A100FYVN : i5-13420H | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD |  Windows 11 | Grey,LENOVO,N/A,8,512GB SSD,INTEL IRIS XE,13600000
Dell 14 DC14250-C3U085W11SLU : Core 3 100U | 8GB RAM | 512GB SSD | Intel Graphics | 14 inch FHD+ | Windows 11 Home SL | Office Home 2024 | Platinum Silver,DELL,CORE 3 100U,8,512GB SSD,INTEL GRAPHICS,13699000
Dell Inspiron 3520 71049019 : i5-1235U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Intel UHD Graphics | Win 11 Home | Office Home and Student 2021 | Black,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL UHD GRAPHICS,13700000
Dell Inspiron 3520 N5I5201W1 : i5-1235U | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD |  Windows 11 Home | Office HS 2021 | Black,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL UHD GRAPHICS,13700000
ASUS ExpertBook P1403CVA-i516-50W : i5-13420H | 16GB RAM | 512GB SSD | FingerPrint | 14 inch FHD | Windows 11 | Grey,ASUS,N/A,16,512GB SSD,INTEL UHD GRAPHICS,13700000
HP Pavilion X360 14-ek1046TU 80R24PA: i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 14 inch FHD | Touch + Pen | Windows 11 | Silver,HP,N/A,8,256GB SSD,INTEL UHD GRAPHICS,13800000
HP Envy x360 2in1 14-es1013dx : Core 5-120U | 8GB RAM | 512GB SSD | Intel Graphics | 14 inch FHD Touch | Windows 11,HP,CORE 5-120U,8,512GB SSD,INTEL GRAPHICS,14000000
ASUS Vivobook 15 X1504VA-BQ2076W : i5-1334U | 16GB RAM | 512GB SSD | 15.6 inch FHD | Windows 11 | Bạc,ASUS,N/A,16,512GB SSD,INTEL IRIS XE GRAPHICS,14000000
HP 250 G9 AG4X7AT : i5-1235U | 8GB RAM | 512GB SSD | Intel Xe Graphics | 15.6 inch FHD | Win 11 Home | Silver,HP,INTEL CORE I5-1235U,8,512GB SSD,INTEL IRIS XE GRAPHICS,14200000
Lenovo V14 G4 83A000FNVN : i5-13420H | 16GB RAM | 512GB SSD | 14 inch FHD | Intel UHD | NoOS | Grey,LENOVO,INTEL CORE I5-13420H,16,512GB SSD,INTEL UHD GRAPHICS,14200000
Dell inspiron 3520 - N5I5057W1 :  i5-1235U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Windows 11 Home | Office Home 2024 | Silver,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL IRIS XE GRAPHICS,14200000
Dell Inspiron 3520 8D10NK : i5-1235U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 Inch FHD |  Windows 11 Home | Office Home & Student 2021 | Silver,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL IRIS XE GRAPHICS,14200000
Dell 15 DC15250-5315BLK : i5-1334U | 8GB RAM | 512GB SSD | Intel Graphics | 15 inch FHD | Touch | Windows 11 | Black,DELL,N/A,8,512GB SSD,INTEL GRAPHICS,14300000
Dell Pro 14 Essential PV14250 71084488 : Core 3 100U | 8GB RAM | 512GB SSD | Intel Graphics | 14 inch FHD+ | Windows 11 | Platinium Silver,DELL,CORE 3 100U,8,512GB SSD,INTEL GRAPHICS,14299000
Dell Inspiron 15 3520 N5I5052W1 : i5-1235U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win 11 Home | Silver,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL UHD GRAPHICS,14300000
Dell DC15250 : i5-1334U | 16GB RAM (Upgrade) | 512GB SSD |  Intel UHD Graphics | 15.6 inch FHD |  NO OS | Black,DELL,N/A,16,512GB SSD,INTEL UHD GRAPHICS,14300000
Dell Inspiron 15 3520 71045026 : i5-1235U | 16GB RAM | 512GB SSD | 15.6 inch FHD | Intel Iris Xe Graphics | Win 11 Home | Office Home and Student 2021 | Black,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL IRIS XE GRAPHICS,14400000
Dell inspiron 15 3520 - 25P2312 : i5-1235U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win 11 Home | Office Home and Student 2021 | Silver,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL IRIS XE GRAPHICS,14400000
HP 15-fc0656AU C81NHPA : R5-7430U | 16GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6 inch FHD | Windows 11 | Bạc,HP,N/A,16,512GB SSD,AMD RADEON GRAPHICS,14500000
Lenovo Ideapad Slim 3 Xiaoxin 14C IRH10 : i5-13420H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Grey,LENOVO,N/A,16,512GB SSD,INTEL UHD GRAPHICS,14500000
Acer Aspire Lite 14 AL14-71P-55P9 : i5-13500H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14.0 inch FHD+ | Windows 11 Home | BẠC,ACER,N/A,16,512GB SSD,INTEL UHD GRAPHICS,14500000
ASUS ExpertBook P1403CVA-i516-63WS : i5-13420H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Win 11 Home | Office Home 2024 | Grey,ASUS,INTEL CORE I5-13420H,16,512GB SSD,INTEL UHD GRAPHICS,14600000
Dell Inspiron 3530 N3530-i5U085W11SLU : i5-1334U | 8GB RAM | 512GB SSD | 15.6 inch FHD + Office | UHD Graphics | Windows 11 | Bạc,DELL,N/A,8,512GB SSD,UHD GRAPHICS,14600000
Dell 15 DC15250 DC5I5897W1 : i5-1334U | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD 120Hz | Windows 11 + Office Home 2024 | Bạc,DELL,N/A,16,512GB SSD,INTEL UHD GRAPHICS,15499000
Dell Vostro 3430 71040387 : i5-1335U | 8GB RAM | 512GB SSD | 14 inch FHD | Intel Iris Xe Graphics | NoOS | Black,DELL,INTEL CORE I5-1335U,8,512GB SSD,INTEL IRIS XE GRAPHICS,14700000
Dell Inspiron 15 3520 N3520-i5U165W11BLU-FP : i5-1235U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win11 Home | Office Home&Student | Black,DELL,INTEL CORE I5-1235U,16,512GB SSD,INTEL IRIS XE GRAPHICS,14700000
Lenovo Ideapad Slim 5 Xiaoxin 14 AHP9 : R7-8745H | 16GB RAM | 512GB SSD | AMD Radeon 780M Graphics | 14.0 inch FHD | Grey,LENOVO,RYZEN 7-8745H,16,512GB SSD,AMD RADEON 780M,14850000
"MSI Thin A15 B7UCX-020VN : R5-7535HS | 8GB RAM | 512GB SSD | 15,6 FHD IPS | RTX 2050 4GB | Windows 11 | Xám",MSI,N/A,8,512GB SSD,RTX 2050 4GB,14900000
ASUS ExpertBook B1 B1402CVA-NK0157W : i7-1355U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Windows 11 Home | Black,ASUS,INTEL CORE I7-1355U,8,512GB SSD,INTEL UHD GRAPHICS,14900000
Lenovo IdeaPad Slim 3 14IRH10 83K00008VN : i5-13420H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch WUXGA | Windows 11 | Luna Grey,LENOVO,N/A,16,512GB SSD,INTEL UHD GRAPHICS,14900000
Lenovo Lecoo 14 N155C : i5-13420H | 16GB RAM | 1TB SSD | Intel UHD Graphics | 14 inch 2.2K | Windows 11 | Cloud Grey,LENOVO,N/A,16,1TB SSD,INTEL UHD GRAPHICS,14900000
Dell Inspiron 5440 NDY5V : i3-1305U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD+ | Windows 11 + Office | Ice Blue,DELL,N/A,8,512GB SSD,INTEL UHD GRAPHICS,14900000
Dell Latitude 5440: i5-1335U | 16GB RAM | 256GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Windows 11 | Silver,DELL,N/A,16,256GB SSD,INTEL IRIS XE GRAPHICS,14950000
Dell Latitude 5340 : i5-1345U | 16GB RAM | 512GB SSD | Intel Irise Xe Graphics | 13.3 inch FHD | Grey,DELL,N/A,16,512GB SSD,INTEL IRIS XE GRAPHICS,15200000
MSI Modern 14 C13M-607VN : i7 1355U | 16GB RAM | 512GB SSD | Iris Xe Graphics | 14 inch FHD IPS | Led Keyboard | Windows 11 | Classic Black,MSI,CORE I7-1355U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15300000
Dell inspiron 15 3530 - P16WD1 : i5-1334U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 Inch FHD | Windows 11 Home | Office Home & Student 2021 | Silver,DELL,INTEL CORE I5-1334U,8,512GB SSD,INTEL UHD GRAPHICS,15300000
HP 14s-ep0112TU 8C5L1PA : i5-1335U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 FHD | Windows 11 Home | Silver,HP,INTEL CORE I5-1335U,16,512GB SSD,INTEL INTEL IRIS XE,15300000
ASUS Vivobook 15 X1504VA-BQ185WS : Core 5-120U | 16GB RAM | 512GB SSD | Intel Graphics | 15.6 inch FHD | Windows 11 + OfficeH24+365 | Silver,ASUS,ASUS VIVOBOOK 15 X1504VA-BQ185WS : CORE 5-120U,16,512GB SSD,INTEL GRAPHICS,15300000
Dell Latitude 5440 : i5-1350P | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Windows 11 Pro | Grey,DELL,N/A,16,512GB SSD,INTEL IRIS XE GRAPHICS,15350000
HP 240 G10 9H2E4PT : Intel Core i5-1335U | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14.0 inch FHD | Windows 11 | Sliver,HP,HP 240 G10 9H2E4PT : INTEL CORE I5-1335U,16,512GB SSD,INTEL UHD GRAPHICS,15400000
ASUS Vivobook 14 A1405VA-KM257W : i5-13500H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch OLED 2.8K | Finger | Windows 11 | Black,ASUS,N/A,16,512GB SSD,INTEL IRIS XE,15400000
Dell Latitude 3540 ADL XCTO 42LT354001 : i5-1235U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | Win 11 Home | Black,DELL,INTEL CORE I5-1235U,8,512GB SSD,INTEL UHD GRAPHICS,15400000
Dell Inspiron 3530 N5I5340W1 : i5-1334U | 16GB RAM |512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD 120Hz | Windows 11 + Office | Platinium Silver,DELL,N/A,16,512GB SSD,INTEL IRIS XE,15400000
HP Pavilion 15-eg3094TU 8C5L5PA : i5-1335U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Windows 11 | Warm Gold,HP,N/A,8,512GB SSD,INTEL IRIS XE GRAPHICS,15500000
MSI Thin 15 B12UCX-1419VN : i5-12450H | 8GB RAM | 512GB SSD | 4G_RTX2050 | 15.6 FHD 144Hz | Windows 11 | Xám,MSI,N/A,8,512GB SSD,4G_RTX2050,15500000
Dell Pro 14 Essential PV14250 PV14250-120U-08512U : Core 5 120U | 8GB RAM | 512GB SSD | Intel Graphics | 14 inch FHD+ | Ubuntu | Platinium Silver,DELL,CORE 5 120U,8,512GB SSD,INTEL GRAPHICS,15499000
ACER Aspire 5 A515-58P-702Q : i7-13620H | 16GB RAM | 512GB SSD | Intel Graphics | Windows 11,ACER,N/A,16,512GB SSD,INTEL GRAPHICS,16500000
Dell Inspiron 3530 71043887 : i5-1334U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | Win 11 Home | Office Home and Student 2021 | Black,DELL,INTEL CORE I5-1334U,8,512GB SSD,INTEL UHD GRAPHICS,15600000
Dell Inspiron 15 3530 71070372 : i5-1334U | 16GB RAM | 512GB SSD | 15.6 inch FHD | Intel Iris Xe Graphics | Windowns 11 Home | Office Home 2024 | Office 365 Basic | Silver,DELL,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15600000
Acer Aspire 5 Gaming A515-58GM-53PZ : i5-13420H | 8GB RAM | 512GB SSD | RTX 2050 4GB | 15.6 FHD| Win 11 | Gray,ACER,N/A,8,512GB SSD,RTX 2050 4GB,15600000
HP 250 G10 A06F8PT : i5-1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics |15.6 inch FHD | Windows 11 | Silver,HP,N/A,16,512GB SSD,INTEL IRIS XE GRAPHICS,15700000
Dell Inspiron 15 3530 N5I5530W1 : i5-1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Windows 11 Home | Office Home 2024 | Silver,DELL,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15800000
Dell Inspiron 15 3530 P16WD22 : i5-1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD 120Hz | Windows 11 Home SL | Office Home 2024 | Silver,DELL,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15800000
Dell inspiron 15 3530 - P16WD2 : i5 1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Windows 11 Home | Office Home & Student 2021 | Black,DELL,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15800000
HP 15-fd0235TU 9Q970PA : i5-1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Windows 11 | Silver,HP,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15800000
Dell Inspiron 3530 71043885 : i5-1334U | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD | Win 11 Home | Office Home and Student 2021 | Silver,DELL,INTEL CORE I5-1334U,16,512GB SSD,INTEL IRIS XE GRAPHICS,15800000
ASUS Vivobook  A1405VA-KM095W : i5-13500H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch 2.8K OLED | Windows 11 | Silver,ASUS,INTEL CORE I5-13500H,16,512GB SSD,INTEL IRIS XE GRAPHICS,15900000
